email	Name	Addr1	Addr2	Town	Postcode	foreign key	send this user HTML emails
20@mailinator.com	TestUser 20	Addr line 1	Addr line2	Town	Postcode 20	ABC 20	1
21@mailinator.com	TestUser 21	Addr line 1	Addr line2	Town	Postcode 21	ABC 21	1
22@mailinator.com	TestUser 22	Addr line 1	Addr line2	Town	Postcode 22	ABC 22	1
23@mailinator.com	TestUser 23	Addr line 1	Addr line2	Town	Postcode 23	ABC 23	1
24@mailinator.com	TestUser 24	Addr line 1	Addr line2	Town	Postcode 24	ABC 24	1
25@mailinator.com	TestUser 25	Addr line 1	Addr line2	Town	Postcode 25	ABC 25	1
26@mailinator.com	TestUser 26	Addr line 1	Addr line2	Town	Postcode 26	ABC 26	1
27@mailinator.com	TestUser 27	Addr line 1	Addr line2	Town	Postcode 27	ABC 27	1
28@mailinator.com	TestUser 28	Addr line 1	Addr line2	Town	Postcode 28	ABC 28	1
29@mailinator.com	TestUser 29	Addr line 1	Addr line2	Town	Postcode 29	ABC 29	1
30@mailinator.com	TestUser 30	Addr line 1	Addr line2	Town	Postcode 30	ABC 30	1
31@mailinator.com	TestUser 31	Addr line 1	Addr line2	Town	Postcode 31	ABC 31	1
32@mailinator.com	TestUser 32	Addr line 1	Addr line2	Town	Postcode 32	ABC 32	1
33@mailinator.com	TestUser 33	Addr line 1	Addr line2	Town	Postcode 33	ABC 33	1
34@mailinator.com	TestUser 34	Addr line 1	Addr line2	Town	Postcode 34	ABC 34	1
35@mailinator.com	TestUser 35	Addr line 1	Addr line2	Town	Postcode 35	ABC 35	1
36@mailinator.com	TestUser 36	Addr line 1	Addr line2	Town	Postcode 36	ABC 36	1
37@mailinator.com	TestUser 37	Addr line 1	Addr line2	Town	Postcode 37	ABC 37	1
38@mailinator.com	TestUser 38	Addr line 1	Addr line2	Town	Postcode 38	ABC 38	1
39@mailinator.com	TestUser 39	Addr line 1	Addr line2	Town	Postcode 39	ABC 39	1
40@mailinator.com	TestUser 40	Addr line 1	Addr line2	Town	Postcode 40	ABC 40	1
41@mailinator.com	TestUser 41	Addr line 1	Addr line2	Town	Postcode 41	ABC 41	1
42@mailinator.com	TestUser 42	Addr line 1	Addr line2	Town	Postcode 42	ABC 42	1
43@mailinator.com	TestUser 43	Addr line 1	Addr line2	Town	Postcode 43	ABC 43	1
44@mailinator.com	TestUser 44	Addr line 1	Addr line2	Town	Postcode 44	ABC 44	1
45@mailinator.com	TestUser 45	Addr line 1	Addr line2	Town	Postcode 45	ABC 45	1
46@mailinator.com	TestUser 46	Addr line 1	Addr line2	Town	Postcode 46	ABC 46	1
47@mailinator.com	TestUser 47	Addr line 1	Addr line2	Town	Postcode 47	ABC 47	1
48@mailinator.com	TestUser 48	Addr line 1	Addr line2	Town	Postcode 48	ABC 48	1
49@mailinator.com	TestUser 49	Addr line 1	Addr line2	Town	Postcode 49	ABC 49	1
50@mailinator.com	TestUser 50	Addr line 1	Addr line2	Town	Postcode 50	ABC 50	1
51@mailinator.com	TestUser 51	Addr line 1	Addr line2	Town	Postcode 51	ABC 51	1
52@mailinator.com	TestUser 52	Addr line 1	Addr line2	Town	Postcode 52	ABC 52	1
53@mailinator.com	TestUser 53	Addr line 1	Addr line2	Town	Postcode 53	ABC 53	1
54@mailinator.com	TestUser 54	Addr line 1	Addr line2	Town	Postcode 54	ABC 54	1
55@mailinator.com	TestUser 55	Addr line 1	Addr line2	Town	Postcode 55	ABC 55	1
56@mailinator.com	TestUser 56	Addr line 1	Addr line2	Town	Postcode 56	ABC 56	1
57@mailinator.com	TestUser 57	Addr line 1	Addr line2	Town	Postcode 57	ABC 57	1
